name ,sex,genotype,phenotype,wing perimeter,landmark x 1,landmark y 1,landmark x 2,landmark y 2,landmark x 3,landmark y 3,landmark x 4,landmark y 4,landmark x 5,landmark y 5,landmark x 6,landmark y 6,landmark x 7,landmark y 7,landmark x 8,landmark y 8,landmark x 9,landmark y 9,landmark x 10,landmark y 10,landmark x 11,landmark y 11,landmark x 12,landmark y 12,landmark x 13,landmark y 13,landmark x 14,landmark y 14,landmark x 15,landmark y 15,landmark x 16,landmark y 16,landmark x 17,landmark y 17,landmark x 18,landmark y 18,landmark x 19,landmark y 19,landmark x 20,landmark y 20
725,female,a-e,elegans,4565.9549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,female,a-s,aurora,4595.8817,2275,1619,1207,1543,1080,1605,938,1757,793,1904,709,2027,675,2149,683,2278,721,2380,829,2447,1053,2362,1273,2310,1688,2117,1491,2215,1526,2173,1566,2081,1442,2022,1479,1954,1692,1808,2203,1642
735,female,s-s,silvana,4447.3519,1810,1330,740,1403,622,1485,497,1629,376,1781,308,1906,284,2028,305,2145,362,2232,461,2287,684,2185,889,2122,1265,1911,1078,2023,1120,1968,1144,1882,1033,1840,1058,1772,1240,1608,1725,1377
736,female,a-e,elegans,4727.6391,1891,1594,778,1577,659,1647,526,1786,389,1921,321,2055,309,2186,326,2312,378,2414,471,2474,715,2389,915,2346,1350,2138,1145,2246,1162,2214,1200,2105,1085,2053,1113,1985,1326,1831,1824,1625
738,male,a-e,elegans,4885.6046,1841,1808,672,1675,552,1745,400,1885,245,2035,163,2168,127,2302,129,2430,175,2536,271,2610,503,2538,727,2510,1176,2334,970,2418,991,2382,1030,2294,912,2220,953,2150,1187,2008,1747,1831
739,male,a-s,aurora,4824.5407,1761,1676,645,1741,513,1828,400,1989,271,2165,204,2315,188,2451,208,2584,283,2681,387,2723,610,2609,816,2539,1224,2299,1056,2399,1069,2367,1097,2257,964,2212,980,2146,1210,1953,1717,1701
740,female,a-e,elegans,4155.4726,2161,1454,1187,1619,1096,1699,1014,1837,915,1998,870,2127,861,2248,897,2356,960,2430,1041,2471,1202,2367,1391,2297,1757,2026,1608,2133,1611,2108,1623,2028,1512,1991,1537,1920,1704,1753,2112,1487
742,male,s-s,silvana,4809.4452,2455,1562,1297,1633,1184,1730,1066,1897,934,2062,849,2198,831,2327,838,2441,893,2541,1008,2603,1245,2494,1484,2419,1904,2168,1695,2299,1735,2242,1764,2150,1624,2115,1660,2042,1880,1849,2383,1601
755,female,a-e,elegans,4665.2442,2509,1553,1427,1507,1300,1578,1164,1735,1024,1884,950,2018,921,2142,932,2267,994,2369,1095,2428,1334,2338,1530,2293,1963,2078,1773,2174,1793,2135,1827,2043,1707,1985,1737,1918,1955,1764,2447,1576
759,male,e-s,elegans,4889.026,1868,1484,738,1379,587,1455,440,1603,288,1769,210,1908,178,2040,195,2181,255,2286,385,2354,597,2263,814,2217,1265,2020,1051,2113,1086,2071,1124,1980,995,1908,1029,1838,1262,1689,1799,1507
760,female,a-s,aurora,4634.7102,2329,1427,1258,1399,1122,1476,990,1623,858,1775,786,1917,759,2044,762,2180,816,2272,915,2327,1145,2232,1345,2183,1759,1975,1570,2073,1612,2027,1644,1935,1540,1873,1571,1812,1786,1655,2266,1455
771,male,a-e,elegans,4658.3325,2360,1711,1277,1512,1144,1573,995,1698,850,1828,760,1939,722,2059,722,2178,749,2276,817,2354,1061,2311,1275,2290,1707,2158,1473,2237,1540,2194,1598,2105,1486,2035,1515,1980,1748,1857,2280,1727
772,male,a-s,aurora,4974.2737,2429,1533,1258,1590,1143,1672,1011,1836,876,1994,802,2136,790,2275,800,2402,866,2505,960,2567,1208,2445,1432,2379,1838,2161,1640,2275,1683,2221,1723,2117,1585,2067,1614,2007,1836,1832,2355,1573
773,male,s-s,silvana,4714.0239,1835,234,707,144,577,222,427,357,290,498,200,626,168,758,183,896,243,998,333,1065,573,981,792,940,1211,761,1013,849,1037,817,1079,726,965,659,1001,594,1224,444,1746,270
788,female,a-s,aurora,4648.3498,2307,1533,1242,1479,1101,1545,966,1694,818,1858,746,1993,721,2125,737,2254,794,2356,881,2412,1097,2321,1322,2261,1727,2057,1535,2158,1567,2115,1591,2032,1471,1972,1506,1901,1712,1751,2220,1567
789,male,a-s,aurora,4617.428,2236,1503,1138,1619,1039,1718,925,1883,812,2058,752,2206,745,2346,788,2474,864,2562,952,2606,1167,2477,1371,2394,1738,2140,1562,2266,1586,2225,1606,2134,1479,2082,1502,2009,1685,1822,2166,1541
790,male,a-e,elegans,4908.3569,2296,1508,1140,1642,1013,1755,897,1931,781,2117,728,2265,727,2412,764,2541,833,2634,955,2691,1190,2549,1408,2458,1797,2178,1604,2327,1639,2267,1658,2157,1500,2127,1524,2039,1718,1847,2218,1556
791,male,e-s,elegans,4969.8788,2414,1586,1252,1537,1101,1618,968,1781,823,1939,736,2083,714,2227,740,2354,793,2453,881,2514,1171,2422,1391,2360,1815,2145,1598,2260,1648,2209,1686,2116,1552,2066,1583,1991,1799,1818,2338,1615
792,female,a-e,elegans,4665.7224,2010,1393,927,1576,817,1673,709,1836,597,2021,552,2161,552,2291,587,2423,650,2504,764,2548,989,2408,1181,2325,1538,2048,1372,2181,1402,2122,1411,2021,1284,1991,1305,1913,1488,1722,1939,1435
804,female,s-s,silvana,4860.4503,2418,1484,1281,1453,1155,1527,1012,1680,860,1834,775,1974,736,2102,742,2232,801,2343,903,2415,1164,2302,1379,2250,1797,2051,1599,2152,1646,2102,1672,2012,1545,1961,1581,1895,1802,1726,2329,1528
814,female,a-s,aurora,5104.097,2337,1379,1163,1493,1028,1584,928,1750,784,1925,703,2082,701,2226,736,2366,804,2465,921,2522,1168,2387,1428,2281,1817,2023,1641,2146,1664,2100,1677,1999,1542,1963,1567,1891,1769,1703,2261,1422
815,male,a-e,elegans,4853.563,2398,1574,1270,1397,1132,1461,975,1597,820,1736,721,1863,677,1995,678,2124,722,2231,811,2302,1067,2250,1312,2223,1742,2079,1524,2164,1585,2114,1627,2018,1499,1951,1543,1877,1774,1745,2331,1594
823,female,e-s,elegans,5116.4057,2329,1427,1170,1501,1042,1592,914,1756,775,1921,713,2068,703,2224,732,2364,799,2470,906,2520,1173,2389,1382,2315,1789,2065,1611,2176,1620,2145,1643,2035,1508,1996,1540,1908,1744,1727,2257,1465
824,male,s-s,silvana,4827.0777,2366,1525,1207,1632,1087,1733,981,1893,854,2061,787,2199,765,2326,776,2445,834,2543,919,2601,1191,2474,1403,2395,1794,2158,1606,2276,1627,2232,1666,2130,1535,2089,1564,2021,1763,1841,2290,1570
840,male,s-s,silvana,4896.7346,1957,1469,823,1556,698,1656,584,1821,455,1985,382,2129,360,2262,395,2393,455,2488,550,2538,780,2411,990,2337,1390,2100,1206,2216,1232,2178,1267,2070,1134,2032,1164,1957,1356,1781,1886,1505
